"Education","MaritalSts","Income","Kidhome","Teenhome","Recency","WineExp","FruitExp","MeatExp","FishExp","SweetExp","GoldExp","DealsPurc","WebPurc","CatalogPurc","StorePurc","WebVisits","AccCmp3","AccCmp4","AccCmp5","AccCmp1","AccCmp2","Complain","Response","Age","CustDays","TotAccCmp","TotalExp","TotalPurchases","PurchaseFrequency","PreferredProductCategory","PreferredChannel","AvgSpendPerPurchase","HasChildren","IncomeSegment","CustomerTenure","CampaignAcceptanceRate","CustomerSegment","PropensityScore","EngagementIndex"
"PhD","Married",79930,0,0,72,792,86,740,67,51,17,1,3,5,8,2,0,0,0,0,0,0,0,48,3067,0,1753,17,0.166286273231171,"WineExp","StorePurc",103.117647058824,0,"High",8.4027397260274,0,"2",0.0453619875960676,29.0669666966697
"PhD","Together",34320,1,0,66,4,1,9,3,0,0,1,1,0,2,8,0,0,0,0,0,0,0,34,2510,0,17,4,0.047808764940239,"MeatExp","StorePurc",4.25,1,"Low",6.87671232876712,0,"1",0.0208291903004243,16.619501950195
"2n Cycle","Divorced",81975,0,1,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,58,2917,1,1588,14,0.143983544737744,"WineExp","WebPurc",113.428571428571,1,"High",7.99178082191781,0.2,"2",0.709246646156581,48.8711471147115
"Graduation","Together",38590,1,0,65,3,1,8,4,3,3,1,1,0,2,8,0,0,0,0,0,0,0,49,2787,0,22,4,0.0430570505920344,"MeatExp","StorePurc",5.5,1,"Low",7.63561643835616,0,"1",0.0180042334115867,16.8611261126113
"Graduation","Single",15033,0,0,37,0,4,5,6,0,4,1,1,0,3,3,0,0,0,0,0,0,0,69,2451,0,19,5,0.0611995104039168,"FishExp","StorePurc",3.8,0,"Low",6.71506849315069,0,"3",0.206083020897462,17.9484748474847
"PhD","Married",62745,0,1,89,562,21,464,28,10,32,3,7,8,11,5,0,0,0,0,0,0,0,55,2840,0,1117,29,0.306338028169014,"WineExp","StorePurc",38.5172413793103,1,"High",7.78082191780822,0,"2",0.0239055696053564,29.0495449544954
"2n Cycle","Married",22212,1,0,49,5,9,20,6,8,21,2,2,0,4,6,0,0,0,0,0,0,0,45,2579,0,69,8,0.0930593253198914,"GoldExp","StorePurc",8.625,1,"Low",7.06575342465753,0,"3",0.0542821917612017,20.2839083908391
"Master","Together",23661,1,0,46,18,0,4,0,0,1,1,1,0,3,7,0,0,0,0,0,0,0,38,2584,0,23,5,0.0580495356037152,"WineExp","StorePurc",4.6,1,"Low",7.07945205479452,0,"3",0.0500399707027387,20.1619761976198
"PhD","Single",79761,0,1,32,415,5,124,15,35,11,1,5,2,11,3,0,0,0,0,0,0,0,62,2645,0,605,19,0.215500945179584,"WineExp","StorePurc",31.8421052631579,1,"High",7.24657534246575,0,"2",0.0874175698345238,29.963796379638
"Graduation","Single",22212,1,0,54,5,3,10,12,7,20,4,3,1,3,7,0,0,0,0,0,0,0,47,2562,0,57,11,0.128805620608899,"GoldExp","DealsPurc",5.18181818181818,1,"Low",7.01917808219178,0,"1",0.132980646099358,21.5423942394239
"2n Cycle","Single",60182,0,1,23,8,0,5,7,0,2,1,1,0,2,4,0,0,0,0,0,0,0,80,2420,0,22,4,0.0495867768595041,"WineExp","StorePurc",5.5,1,"Medium",6.63013698630137,0,"3",0.0798568939816812,21.3459745974597
"Graduation","Widow",73455,0,0,98,901,61,757,186,163,20,1,6,5,10,3,0,1,0,0,0,0,0,52,2621,1,2088,22,0.251812285387257,"WineExp","StorePurc",94.9090909090909,0,"High",7.18082191780822,0.2,"2",0.374881149105973,33.0739673967397
"Graduation","Together",64961,0,1,97,382,114,276,75,124,38,2,6,4,4,3,0,0,0,0,0,0,0,62,2930,0,1009,16,0.16382252559727,"WineExp","WebPurc",63.0625,1,"High",8.02739726027397,0,"1",0.0126829969444156,18.6688468846885
"Graduation","Single",22804,1,0,75,14,1,7,2,1,1,1,2,0,2,9,0,0,0,0,0,0,0,49,2710,0,26,5,0.0553505535055351,"WineExp","WebPurc",5.2,1,"Low",7.42465753424658,0,"1",0.0698143239312833,16.3271527152715
"Graduation","Married",61074,0,1,37,789,0,133,0,28,152,7,11,5,8,7,0,0,0,0,0,0,0,62,3058,0,1102,31,0.304120340091563,"WineExp","WebPurc",35.5483870967742,1,"Medium",8.37808219178082,0,"2",0.0977502581580723,42.3448744874487
"PhD","Married",31686,1,1,31,11,0,5,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,56,2401,0,17,6,0.0749687630154103,"WineExp","StorePurc",2.83333333333333,1,"Low",6.57808219178082,0,"3",0.058363324428825,22.599299929993
"Graduation","Married",75027,0,1,74,925,64,179,133,12,77,2,9,4,6,5,0,0,0,0,0,0,0,67,2913,0,1390,21,0.216271884654995,"WineExp","WebPurc",66.1904761904762,1,"High",7.98082191780822,0,"2",0.031003015933633,30.6058605860586
"PhD","Married",67546,0,0,90,864,134,768,150,38,172,1,4,10,5,3,0,0,0,0,0,0,0,32,3044,0,2126,20,0.197109067017083,"WineExp","CatalogPurc",106.3,0,"High",8.33972602739726,0,"2",0.070364601350455,30.7486948694869
"Master","Together",65176,0,1,57,960,28,183,220,70,70,4,9,6,6,6,0,0,0,0,0,0,0,51,2985,0,1531,25,0.251256281407035,"WineExp","WebPurc",61.24,1,"High",8.17808219178082,0,"2",0.081037971854523,37.9752175217522
"Master","Single",31160,1,0,59,16,3,25,6,1,13,2,2,0,3,8,0,0,0,0,0,0,0,45,2663,0,64,7,0.0788584303417199,"MeatExp","StorePurc",9.14285714285714,1,"Low",7.2958904109589,0,"1",0.0889188338599283,19.7695569556956
"Graduation","Single",29938,1,0,52,3,3,7,0,2,11,2,1,0,3,6,0,0,0,0,0,0,0,35,2622,0,26,6,0.068649885583524,"GoldExp","StorePurc",4.33333333333333,1,"Low",7.18356164383562,0,"1",0.107034129086542,18.4281628162816
"2n Cycle","Together",26490,0,0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,0,62,3022,0,210,11,0.109199205823958,"MeatExp","StorePurc",19.0909090909091,0,"Low",8.27945205479452,0,"1",0.0165114490819267,14.0775077507751
"Graduation","Together",75702,1,1,77,650,28,353,45,42,30,5,4,6,11,8,0,0,0,0,0,0,0,53,3046,0,1148,26,0.25607353906763,"WineExp","StorePurc",44.1538461538462,1,"High",8.34520547945205,0,"2",0.0213264062377817,33.355695569557
"PhD","Single",30899,1,0,35,24,0,8,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,46,3001,0,33,6,0.0599800066644452,"WineExp","StorePurc",5.5,1,"Low",8.22191780821918,0,"3",0.154272765663878,21.9179517951795
"Graduation","Single",45989,0,1,97,138,33,87,28,24,12,4,3,2,7,3,0,0,0,0,0,0,0,56,2992,0,322,16,0.160427807486631,"WineExp","StorePurc",20.125,1,"Medium",8.1972602739726,0,"1",0.0302745492171661,13.2272627262726
"Graduation","Single",18701,1,1,95,12,4,2,10,6,10,4,2,0,4,5,0,0,0,0,0,0,0,56,2767,0,44,10,0.108420672208168,"WineExp","DealsPurc",4.4,1,"Low",7.58082191780822,0,"1",0.0490668904509823,10.7020502050205
"PhD","Single",40737,2,1,24,11,0,4,0,0,2,1,1,0,2,8,0,0,0,0,0,0,0,63,2580,0,17,4,0.0465116279069767,"WineExp","StorePurc",4.25,1,"Medium",7.06849315068493,0,"3",0.141466740528884,25.1043504350435
"PhD","Divorced",69674,0,2,46,554,41,215,11,0,24,3,10,2,10,5,0,0,0,0,0,0,0,52,2780,0,845,25,0.26978417266187,"WineExp","WebPurc",33.8,1,"High",7.61643835616438,0,"2",0.109505168614861,33.7637763776378
"Master","Married",44159,1,0,85,167,2,62,24,13,7,4,4,1,6,5,0,0,0,0,0,0,0,50,2389,0,275,15,0.188363331938049,"WineExp","StorePurc",18.3333333333333,1,"Medium",6.54520547945206,0,"1",0.0142000927722502,16.8246824682468
"PhD","Married",37717,1,0,31,9,0,6,4,1,5,1,1,0,2,9,0,0,0,0,0,0,0,42,2960,0,25,4,0.0405405405405405,"WineExp","StorePurc",6.25,1,"Low",8.10958904109589,0,"3",0.0501719789832818,24.7535753575358
"Master","Married",38179,1,1,30,38,4,22,4,2,20,4,3,1,3,7,0,0,0,0,0,0,0,54,2849,0,90,11,0.115830115830116,"WineExp","DealsPurc",8.18181818181818,1,"Low",7.80547945205479,0,"3",0.0569202300640657,26.6522652265227
"Graduation","Married",80124,0,0,47,483,84,398,205,84,241,1,3,7,8,1,1,0,0,0,0,0,0,57,2380,1,1495,19,0.239495798319328,"WineExp","StorePurc",78.6842105263158,0,"High",6.52054794520548,0.2,"2",0.197894079160777,35.3163316331633
"Graduation","Married",72940,0,0,13,182,74,298,162,149,116,1,3,3,6,1,0,0,0,0,0,0,0,50,2752,0,981,13,0.14171511627907,"MeatExp","StorePurc",75.4615384615385,0,"High",7.53972602739726,0,"3",0.0964008102514768,32.0531253125313
"Graduation","Together",22070,1,0,11,10,7,19,8,2,21,2,2,2,2,6,0,0,0,0,0,0,0,50,2645,0,67,8,0.0907372400756144,"GoldExp","DealsPurc",8.375,1,"Low",7.24657534246575,0,"3",0.134461233645196,27.9448344834483
"Master","Single",31788,1,0,15,16,7,23,0,8,6,3,3,0,4,5,0,0,0,0,0,1,0,37,2478,0,60,10,0.121065375302663,"MeatExp","StorePurc",6,1,"Low",6.78904109589041,0,"3",0.256108699114986,26.990399039904
"PhD","Together",61905,0,1,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0,45,2522,0,231,12,0.14274385408406,"WineExp","WebPurc",19.25,1,"Medium",6.90958904109589,0,"3",0.0682224008780057,31.8802080208021
"Graduation","Married",29315,1,1,55,13,2,14,8,7,4,4,2,0,4,6,0,0,0,0,0,0,0,60,2461,0,48,10,0.121901665989435,"MeatExp","DealsPurc",4.8,1,"Low",6.74246575342466,0,"1",0.035337797783475,19.8145414541454
"Graduation","Divorced",33378,1,1,38,33,6,40,3,7,10,3,2,0,4,7,0,0,0,0,0,0,0,57,2885,0,99,9,0.0935875216637782,"MeatExp","StorePurc",11,1,"Low",7.9041095890411,0,"3",0.133332330114575,24.198299829983
"PhD","Together",66313,0,1,86,625,7,99,10,22,7,2,6,3,12,4,0,0,0,0,0,0,0,57,2663,0,770,23,0.259106271122794,"WineExp","StorePurc",33.4782608695652,1,"High",7.2958904109589,0,"2",0.013141848939546,23.1798179817982
"Master","Together",77882,0,0,29,68,129,396,188,22,15,1,3,3,5,1,0,0,0,0,0,0,0,39,2437,0,818,12,0.147722609766106,"MeatExp","StorePurc",68.1666666666667,0,"High",6.67671232876712,0,"3",0.0435784439920482,27.0751675167517
"Master","Divorced",63841,0,1,64,635,15,100,20,7,131,1,9,3,9,6,0,0,0,0,0,0,0,52,2811,0,908,22,0.234791889007471,"WineExp","WebPurc",41.2727272727273,1,"High",7.7013698630137,0,"2",0.0862855201929157,30.2627862786279
"Basic","Married",24480,1,0,46,4,19,9,28,25,17,3,3,0,4,7,0,0,0,0,0,0,0,39,2880,0,102,10,0.104166666666667,"FishExp","StorePurc",10.2,1,"Low",7.89041095890411,0,"3",0.0592995266902914,23.0604460446045
"PhD","Together",65640,0,1,74,204,7,149,20,15,66,1,5,1,8,2,0,0,0,0,0,0,0,46,2497,0,461,15,0.180216259511414,"WineExp","StorePurc",30.7333333333333,1,"High",6.84109589041096,0,"1",0.0119280604296688,17.5201720172017
"Master","Married",44319,1,1,18,26,0,8,0,0,3,2,2,0,3,5,0,0,0,0,0,0,0,45,2450,0,37,7,0.0857142857142857,"WineExp","StorePurc",5.28571428571429,1,"Medium",6.71232876712329,0,"3",0.0599964154219239,24.8385238523852
"Graduation","Married",30631,1,0,75,15,6,20,4,5,20,1,3,1,2,7,0,0,0,0,0,0,0,46,2729,0,70,7,0.0769512641993404,"MeatExp","WebPurc",10,1,"Low",7.47671232876712,0,"1",0.0204973923644551,15.5847584758476
"Graduation","Together",75278,0,0,17,304,98,230,150,74,74,1,6,3,13,3,0,0,0,0,0,0,0,68,2893,0,930,23,0.238506740407881,"WineExp","StorePurc",40.4347826086956,0,"High",7.92602739726027,0,"2",0.0759236887158916,37.3865386538654
"Master","Together",50898,1,1,88,285,28,242,55,114,135,13,6,2,12,5,0,0,0,0,0,0,0,64,2914,0,859,33,0.339739190116678,"WineExp","DealsPurc",26.030303030303,1,"Medium",7.98356164383562,0,"2",0.0245368324496009,29.0261826182618
"Graduation","Widow",79946,0,0,19,395,183,565,166,141,28,1,5,11,5,3,0,0,0,0,0,0,0,54,2425,0,1478,22,0.272164948453608,"MeatExp","CatalogPurc",67.1818181818182,0,"High",6.64383561643836,0,"2",0.349215700271477,40.8685468546855
"Master","Divorced",35416,0,0,62,248,3,81,4,3,51,3,7,1,5,8,0,0,0,0,0,0,0,71,2758,0,390,16,0.174039158810732,"WineExp","WebPurc",24.375,0,"Low",7.55616438356164,0,"1",0.100084974402563,25.8365836583658
"2n Cycle","Together",32414,0,0,11,20,6,5,0,9,12,1,1,0,3,7,1,0,0,0,0,0,0,36,2737,1,52,5,0.0548045305078553,"WineExp","StorePurc",10.4,0,"Low",7.4986301369863,0.2,"3",0.28927886494275,30.7957195719572
"Graduation","Together",38361,1,0,74,39,0,56,20,8,14,3,3,1,3,7,0,0,0,0,0,0,0,51,2561,0,137,10,0.117141741507224,"MeatExp","DealsPurc",13.7,1,"Low",7.01643835616438,0,"1",0.0173517031504116,17.6811081108111
"Graduation","Married",82497,0,0,32,777,129,573,216,21,203,1,2,7,9,4,0,0,1,0,0,0,0,40,2983,1,1919,19,0.191082802547771,"WineExp","StorePurc",101,0,"High",8.17260273972603,0.2,"2",0.390749536642223,44.7050505050505
"Graduation","Together",16626,2,0,76,8,3,22,21,1,13,3,3,0,3,9,0,0,0,0,0,0,0,49,2542,0,68,9,0.106215578284815,"MeatExp","DealsPurc",7.55555555555556,1,"Low",6.96438356164384,0,"1",0.0295694023572444,18.2759875987599
"Graduation","Together",29672,1,1,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,55,2851,0,25,4,0.0420904945633111,"WineExp","StorePurc",6.25,1,"Low",7.81095890410959,0,"3",0.111296562900129,26.8040804080408
"Master","Together",55951,0,1,62,1241,0,80,0,13,40,3,3,6,11,8,0,1,0,0,1,0,0,68,3052,2,1374,23,0.22608125819135,"WineExp","StorePurc",59.7391304347826,1,"Medium",8.36164383561644,0.4,"2",0.512774629455952,43.4791279127913
"2n Cycle","Divorced",35388,1,0,20,6,4,7,4,3,8,1,1,0,3,7,0,0,0,0,0,0,0,32,2856,0,32,5,0.0525210084033613,"GoldExp","StorePurc",6.4,1,"Low",7.82465753424658,0,"3",0.184709044367017,25.4857885788579
"Master","Together",42386,1,0,43,65,4,16,0,4,11,1,3,0,3,8,0,0,0,0,0,0,0,34,2909,0,100,7,0.0721897559298728,"WineExp","WebPurc",14.2857142857143,1,"Medium",7.96986301369863,0,"3",0.0347094112258958,23.2870287028703
"Graduation","Single",68627,0,0,45,395,15,263,60,54,38,1,2,3,6,1,0,0,0,0,0,0,0,38,2910,0,825,12,0.123711340206186,"WineExp","StorePurc",68.75,0,"High",7.97260273972603,0,"3",0.113097273349397,23.8982898289829
"PhD","Divorced",57912,0,1,34,801,0,80,0,0,35,5,8,3,12,5,0,1,0,0,0,0,0,55,2481,1,916,28,0.33857315598549,"WineExp","StorePurc",32.7142857142857,1,"Medium",6.7972602739726,0.2,"2",0.508413860848478,41.4473647364736
"Graduation","Divorced",35246,1,1,53,36,0,12,2,2,10,4,3,1,3,5,0,0,0,0,0,0,0,62,2451,0,62,11,0.134638922888617,"WineExp","DealsPurc",5.63636363636364,1,"Low",6.71506849315069,0,"1",0.0835510117140593,19.7840184018402
"2n Cycle","Together",58821,0,1,44,513,14,154,19,0,28,1,9,2,9,6,0,0,0,0,0,0,0,64,2637,0,728,21,0.238907849829352,"WineExp","WebPurc",34.6666666666667,1,"Medium",7.22465753424658,0,"2",0.0473640248716186,32.422902290229
"PhD","Married",46377,1,0,89,37,0,46,4,3,0,1,2,1,3,4,0,0,0,0,0,0,0,42,2497,0,90,7,0.0841009211053264,"MeatExp","StorePurc",12.8571428571429,1,"Medium",6.84109589041096,0,"1",0.00879970976890043,9.91489148914892
"Graduation","Single",39747,1,0,43,80,15,93,20,13,52,3,5,1,4,8,0,0,0,0,0,0,0,32,2454,0,273,13,0.158924205378973,"MeatExp","WebPurc",21,1,"Low",6.72328767123288,0,"3",0.144620465560964,27.384598459846
"Graduation","Together",23976,1,0,68,14,1,21,2,3,25,3,3,1,3,7,0,0,0,0,0,0,0,36,2561,0,66,10,0.117141741507224,"GoldExp","DealsPurc",6.6,1,"Low",7.01643835616438,0,"1",0.030618682174517,18.3308530853085
"Master","Married",80950,0,0,44,525,147,112,219,147,63,1,6,7,9,2,0,0,0,1,0,0,0,59,2835,1,1213,23,0.243386243386243,"WineExp","StorePurc",52.7391304347826,0,"High",7.76712328767123,0.2,"2",0.157175118466313,36.5069106910691
"Graduation","Single",77457,0,0,85,675,11,400,15,45,11,1,2,5,10,1,0,0,1,0,0,0,0,73,2493,1,1157,18,0.216606498194946,"WineExp","StorePurc",64.2777777777778,0,"High",6.83013698630137,0.2,"2",0.14575384594359,24.5077907790779
"Master","Married",64100,0,1,93,509,0,27,0,0,10,1,8,3,6,7,0,1,0,0,0,0,0,56,2669,1,546,18,0.202322967403522,"WineExp","WebPurc",30.3333333333333,1,"High",7.31232876712329,0.2,"1",0.0313231225211241,24.0520252025202
"Master","Together",42670,0,0,12,154,2,46,20,4,15,1,4,2,4,4,0,0,0,0,0,0,0,28,2805,0,241,11,0.117647058823529,"WineExp","WebPurc",21.9090909090909,0,"Medium",7.68493150684932,0,"3",0.0977859907532148,28.4846684668467
"Graduation","Divorced",12571,1,0,86,3,5,14,2,12,17,4,3,1,3,6,0,0,0,0,0,0,0,44,2539,0,53,11,0.129972430090587,"GoldExp","DealsPurc",4.81818181818182,1,"Low",6.95616438356164,0,"1",0.0725870950283166,14.0460646064606
"Graduation","Married",22574,2,1,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,53,2621,0,37,7,0.0801220908050363,"WineExp","StorePurc",5.28571428571429,1,"Low",7.18082191780822,0,"3",0.0863421414775672,24.8183218321832
"Graduation","Married",74854,0,0,69,861,138,461,60,30,61,1,6,5,12,3,0,1,0,1,0,0,0,31,2768,2,1611,24,0.260115606936416,"WineExp","StorePurc",67.125,0,"High",7.58356164383562,0.4,"2",0.435448065393602,39.3967596759676
"Master","Single",70893,0,0,42,768,44,561,77,44,14,1,6,6,10,3,0,0,0,0,0,0,0,44,2885,0,1508,23,0.239168110918544,"WineExp","StorePurc",65.5652173913043,0,"High",7.9041095890411,0,"2",0.258571991158217,36.9142514251425
"Graduation","Married",54198,1,1,13,185,0,28,3,2,17,6,3,1,6,4,0,0,0,0,0,0,0,54,2571,0,235,16,0.186697782963827,"WineExp","DealsPurc",14.6875,1,"Medium",7.04383561643836,0,"3",0.0689427825469802,30.5078507850785
"Master","Together",28839,1,1,86,24,0,7,0,0,1,2,2,0,3,5,0,0,0,0,0,0,0,64,2487,0,32,7,0.0844390832328106,"WineExp","StorePurc",4.57142857142857,1,"Low",6.81369863013699,0,"1",0.0137027630190794,11.0615461546155
"Graduation","Married",40321,1,1,59,44,4,21,6,0,27,2,3,0,3,7,0,0,0,0,0,0,0,48,2712,0,102,8,0.0884955752212389,"WineExp","WebPurc",12.75,1,"Low",7.43013698630137,0,"1",0.0245178370267214,19.5250925092509
"Graduation","Single",66503,1,0,30,91,64,128,65,3,50,2,4,3,6,3,0,0,0,0,0,0,0,35,3061,0,401,15,0.147010780790591,"MeatExp","StorePurc",26.7333333333333,1,"High",8.38630136986301,0,"3",0.109946605722737,26.9338133813381
"Graduation","Married",30833,1,1,33,11,0,7,3,1,6,2,1,0,3,5,0,0,0,0,0,0,0,69,2725,0,28,6,0.0660550458715596,"WineExp","StorePurc",4.66666666666667,1,"Low",7.46575342465753,0,"3",0.0554517010065338,21.2823882388239
"Graduation","Single",72117,1,2,67,738,20,172,52,50,20,6,2,3,10,7,0,1,0,1,0,0,0,50,2687,2,1052,21,0.234462225530331,"WineExp","StorePurc",50.0952380952381,1,"High",7.36164383561644,0.4,"2",0.542730892218937,38.0094409440944
"Graduation","Married",64795,0,1,23,412,5,119,38,29,77,3,3,3,12,2,0,0,0,0,0,0,0,49,2905,0,680,21,0.216867469879518,"WineExp","StorePurc",32.3809523809524,1,"High",7.95890410958904,0,"2",0.0711733814107108,32.2851285128513
"Graduation","Married",34421,1,0,81,3,3,7,6,2,9,1,1,0,2,7,0,0,0,0,0,0,0,46,2740,0,30,4,0.0437956204379562,"GoldExp","StorePurc",7.5,1,"Low",7.50684931506849,0,"1",0.0142109160294341,12.6921692169217
"PhD","Divorced",47025,1,1,6,16,0,3,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,55,2517,0,20,4,0.0476758045292014,"WineExp","StorePurc",5,1,"Medium",6.8958904109589,0,"3",0.173181540997038,27.7644764476448
"PhD","Divorced",64325,0,1,41,731,60,353,78,12,73,5,10,3,5,7,0,0,0,0,0,0,0,59,2884,0,1307,23,0.239251040221914,"WineExp","WebPurc",56.8260869565217,1,"High",7.9013698630137,0,"2",0.228439476896003,39.5241924192419
"Graduation","Single",40464,0,1,78,424,17,118,7,23,41,6,8,2,8,8,0,0,0,0,0,0,0,67,2911,0,630,24,0.247337684644452,"WineExp","WebPurc",26.25,1,"Low",7.97534246575342,0,"2",0.0907754225220442,28.1416141614161
"Graduation","Married",62187,0,0,49,792,0,275,45,45,126,1,4,8,5,3,0,0,0,0,0,0,0,63,2736,0,1283,18,0.197368421052632,"WineExp","CatalogPurc",71.2777777777778,0,"Medium",7.4958904109589,0,"2",0.076499992203314,31.445204520452
"PhD","Divorced",14849,1,0,39,21,2,28,3,2,9,3,2,0,4,8,0,0,0,0,0,0,0,44,2739,0,65,9,0.0985761226725082,"MeatExp","StorePurc",7.22222222222222,1,"Low",7.5041095890411,0,"3",0.212378078151303,24.7269726972697
"Graduation","Married",27255,1,0,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0,36,2611,0,37,5,0.0574492531597089,"WineExp","StorePurc",7.4,1,"Low",7.15342465753425,0,"3",0.14457334174816,28.9597359735974
"PhD","Married",54432,2,1,37,33,0,5,0,0,0,1,1,0,3,4,0,0,0,0,0,0,0,70,2793,0,38,5,0.0537056928034372,"WineExp","StorePurc",7.6,1,"Medium",7.65205479452055,0,"3",0.0240453047660909,19.0989698969897
"PhD","Single",29999,1,0,22,68,7,59,10,5,11,4,3,1,4,8,0,0,0,0,0,0,0,34,2878,0,160,12,0.125086865879083,"WineExp","DealsPurc",13.3333333333333,1,"Low",7.88493150684932,0,"3",0.260546038853821,30.2774277427743
"Graduation","Single",24072,1,0,79,9,1,6,3,0,4,1,1,0,2,8,0,0,0,0,0,0,0,37,2816,0,23,4,0.0426136363636364,"WineExp","StorePurc",5.75,1,"Low",7.71506849315069,0,"1",0.0618528018587259,14.0407640764076
"PhD","Single",33996,0,0,46,40,2,15,8,0,6,1,1,1,3,4,0,0,0,0,0,0,0,31,2668,0,71,6,0.0674662668665667,"WineExp","StorePurc",11.8333333333333,0,"Low",7.30958904109589,0,"3",0.117958017571051,17.9967196719672
"Graduation","Together",22010,1,0,51,11,2,9,3,0,8,2,2,0,3,8,0,0,0,0,0,0,0,37,2741,0,33,7,0.0766143743159431,"WineExp","StorePurc",4.71428571428571,1,"Low",7.50958904109589,0,"1",0.0477056128501469,21.1401740174017
"Graduation","Divorced",62204,0,2,38,317,46,247,151,46,139,1,4,5,12,3,0,0,0,0,0,0,0,60,3032,0,946,22,0.217678100263852,"WineExp","StorePurc",43,1,"Medium",8.30684931506849,0,"2",0.174396732384191,32.816301630163
"Graduation","Married",30675,1,0,14,10,2,16,11,2,21,1,1,0,3,8,0,0,0,0,0,0,0,48,2971,0,62,5,0.0504880511612252,"GoldExp","StorePurc",12.4,1,"Low",8.13972602739726,0,"3",0.0998239457075207,27.9355335533553
"PhD","Together",83532,0,0,36,755,144,562,104,64,224,1,4,6,4,1,0,0,1,0,0,0,0,80,2653,1,1853,15,0.169619298906898,"WineExp","CatalogPurc",123.533333333333,0,"High",7.26849315068493,0.2,"2",0.290210563658856,38.5560156015602
"Graduation","Single",68655,0,0,95,456,19,832,75,118,38,1,4,5,11,3,0,0,0,0,0,0,0,32,3065,0,1538,21,0.205546492659054,"MeatExp","StorePurc",73.2380952380952,0,"High",8.3972602739726,0,"2",0.0825772773573835,25.5357135713571
"Graduation","Divorced",41411,0,0,11,37,32,38,11,3,18,1,2,1,4,6,0,0,0,0,0,0,0,34,2581,0,139,8,0.0929872142580395,"MeatExp","StorePurc",17.375,0,"Medium",7.07123287671233,0,"3",0.220896413475374,28.5151315131513
"PhD","Married",55212,0,1,65,1103,0,45,0,0,34,3,4,2,11,8,0,1,0,0,1,0,0,51,2960,2,1182,20,0.202702702702703,"WineExp","StorePurc",59.1,1,"Medium",8.10958904109589,0.4,"2",0.45341691269373,39.9886388638864
"PhD","Together",59292,0,1,71,378,14,68,19,14,14,2,3,5,8,3,0,0,0,0,0,0,0,70,2758,0,507,18,0.195794053662074,"WineExp","StorePurc",28.1666666666667,1,"Medium",7.55616438356164,0,"1",0.0161055513429681,20.8542254225423
"Graduation","Divorced",82623,0,0,58,204,34,204,172,153,173,1,2,9,4,1,0,0,0,0,0,0,0,68,2608,0,940,16,0.184049079754601,"WineExp","CatalogPurc",58.75,0,"High",7.14520547945205,0,"2",0.0540403312997324,24.001100110011
"Graduation","Married",44300,1,1,65,30,0,9,0,0,3,2,1,0,3,6,0,0,0,0,0,0,0,55,2748,0,42,6,0.0655021834061135,"WineExp","StorePurc",7,1,"Medium",7.52876712328767,0,"1",0.0163013341815351,15.9286328632863
"Graduation","Widow",30372,1,1,33,15,0,12,7,3,7,3,2,0,3,7,0,0,0,0,0,0,0,49,2928,0,44,8,0.0819672131147541,"WineExp","DealsPurc",5.5,1,"Low",8.02191780821918,0,"3",0.190842683975379,24.3182118211821
"Master","Married",33181,1,0,90,9,0,3,0,0,4,1,1,0,2,6,1,0,0,0,0,0,0,44,2554,1,16,4,0.0469851213782302,"WineExp","StorePurc",4,1,"Low",6.9972602739726,0.2,"1",0.0406268664451681,13.0964296429643
"Graduation","Married",71113,0,1,95,495,33,255,11,33,8,4,6,7,9,4,0,0,0,0,0,0,0,63,2571,0,835,26,0.303383897316219,"WineExp","StorePurc",32.1153846153846,1,"High",7.04383561643836,0,"2",0.0102233699024153,23.2401240124012
"Graduation","Married",71952,1,0,93,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,0,34,2912,2,1443,22,0.226648351648352,"WineExp","WebPurc",65.5909090909091,1,"High",7.97808219178082,0.4,"2",0.251761926805224,33.3084908490849
"Graduation","Married",72099,0,0,18,546,91,410,119,0,22,1,3,4,10,1,0,0,0,0,0,0,0,46,2987,0,1188,18,0.180783394710412,"WineExp","StorePurc",66,0,"High",8.18356164383562,0,"2",0.117712591857171,34.9553555355536
"PhD","Single",60000,0,1,57,1048,0,217,0,0,12,5,11,3,5,6,0,0,0,0,0,0,0,44,2931,0,1277,24,0.245649948822927,"WineExp","WebPurc",53.2083333333333,1,"Medium",8.03013698630137,0,"2",0.194918502509966,35.5087908790879
"Graduation","Single",38643,1,1,45,22,2,14,0,1,10,2,2,0,3,7,0,0,0,0,0,1,0,42,2589,0,49,7,0.0811123986095017,"WineExp","StorePurc",7,1,"Low",7.09315068493151,0,"3",0.101045158959833,21.4790279027903
