"Education","MaritalSts","Income","Kidhome","Teenhome","Recency","WineExp","FruitExp","MeatExp","FishExp","SweetExp","GoldExp","DealsPurc","WebPurc","CatalogPurc","StorePurc","WebVisits","AccCmp3","AccCmp4","AccCmp5","AccCmp1","AccCmp2","Complain","Response","Age","CustDays","TotAccCmp","TotalExp"
"Graduation","Together",42011,1,0,46,131,0,16,2,1,39,4,3,1,4,8,0,0,0,0,0,0,0,42,2837,0,189
"Graduation","Together",51369,0,1,84,297,7,79,0,11,182,2,8,2,4,8,0,0,0,0,0,0,0,44,2989,0,576
"Graduation","Divorced",51537,0,1,27,787,20,204,0,0,92,3,2,2,11,8,0,0,0,0,0,0,0,68,2944,0,1103
"PhD","Married",79930,0,0,72,792,86,740,67,51,17,1,3,5,8,2,0,0,0,0,0,0,0,48,3067,0,1753
"PhD","Together",34320,1,0,66,4,1,9,3,0,0,1,1,0,2,8,0,0,0,0,0,0,0,34,2510,0,17
"2n Cycle","Divorced",81975,0,1,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,58,2917,1,1588
"Graduation","Together",38590,1,0,65,3,1,8,4,3,3,1,1,0,2,8,0,0,0,0,0,0,0,49,2787,0,22
"Graduation","Single",15033,0,0,37,0,4,5,6,0,4,1,1,0,3,3,0,0,0,0,0,0,0,69,2451,0,19
"PhD","Married",62745,0,1,89,562,21,464,28,10,32,3,7,8,11,5,0,0,0,0,0,0,0,55,2840,0,1117
"2n Cycle","Married",22212,1,0,49,5,9,20,6,8,21,2,2,0,4,6,0,0,0,0,0,0,0,45,2579,0,69
"Master","Together",23661,1,0,46,18,0,4,0,0,1,1,1,0,3,7,0,0,0,0,0,0,0,38,2584,0,23
"PhD","Single",79761,0,1,32,415,5,124,15,35,11,1,5,2,11,3,0,0,0,0,0,0,0,62,2645,0,605
"Graduation","Single",22212,1,0,54,5,3,10,12,7,20,4,3,1,3,7,0,0,0,0,0,0,0,47,2562,0,57
"2n Cycle","Single",60182,0,1,23,8,0,5,7,0,2,1,1,0,2,4,0,0,0,0,0,0,0,80,2420,0,22
"Graduation","Widow",73455,0,0,98,901,61,757,186,163,20,1,6,5,10,3,0,1,0,0,0,0,0,52,2621,1,2088
"Graduation","Together",64961,0,1,97,382,114,276,75,124,38,2,6,4,4,3,0,0,0,0,0,0,0,62,2930,0,1009
"Graduation","Single",22804,1,0,75,14,1,7,2,1,1,1,2,0,2,9,0,0,0,0,0,0,0,49,2710,0,26
"Graduation","Married",61074,0,1,37,789,0,133,0,28,152,7,11,5,8,7,0,0,0,0,0,0,0,62,3058,0,1102
"PhD","Married",31686,1,1,31,11,0,5,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,56,2401,0,17
"Graduation","Married",75027,0,1,74,925,64,179,133,12,77,2,9,4,6,5,0,0,0,0,0,0,0,67,2913,0,1390
"PhD","Married",67546,0,0,90,864,134,768,150,38,172,1,4,10,5,3,0,0,0,0,0,0,0,32,3044,0,2126
"Master","Together",65176,0,1,57,960,28,183,220,70,70,4,9,6,6,6,0,0,0,0,0,0,0,51,2985,0,1531
"Master","Single",31160,1,0,59,16,3,25,6,1,13,2,2,0,3,8,0,0,0,0,0,0,0,45,2663,0,64
"Graduation","Single",29938,1,0,52,3,3,7,0,2,11,2,1,0,3,6,0,0,0,0,0,0,0,35,2622,0,26
"2n Cycle","Together",26490,0,0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,0,62,3022,0,210
"Graduation","Together",75702,1,1,77,650,28,353,45,42,30,5,4,6,11,8,0,0,0,0,0,0,0,53,3046,0,1148
"PhD","Single",30899,1,0,35,24,0,8,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,46,3001,0,33
"Graduation","Single",45989,0,1,97,138,33,87,28,24,12,4,3,2,7,3,0,0,0,0,0,0,0,56,2992,0,322
"Graduation","Single",18701,1,1,95,12,4,2,10,6,10,4,2,0,4,5,0,0,0,0,0,0,0,56,2767,0,44
"PhD","Single",40737,2,1,24,11,0,4,0,0,2,1,1,0,2,8,0,0,0,0,0,0,0,63,2580,0,17
"PhD","Divorced",69674,0,2,46,554,41,215,11,0,24,3,10,2,10,5,0,0,0,0,0,0,0,52,2780,0,845
"Master","Married",44159,1,0,85,167,2,62,24,13,7,4,4,1,6,5,0,0,0,0,0,0,0,50,2389,0,275
"PhD","Married",37717,1,0,31,9,0,6,4,1,5,1,1,0,2,9,0,0,0,0,0,0,0,42,2960,0,25
"Master","Married",38179,1,1,30,38,4,22,4,2,20,4,3,1,3,7,0,0,0,0,0,0,0,54,2849,0,90
"Graduation","Married",80124,0,0,47,483,84,398,205,84,241,1,3,7,8,1,1,0,0,0,0,0,0,57,2380,1,1495
"Graduation","Married",72940,0,0,13,182,74,298,162,149,116,1,3,3,6,1,0,0,0,0,0,0,0,50,2752,0,981
"Graduation","Together",22070,1,0,11,10,7,19,8,2,21,2,2,2,2,6,0,0,0,0,0,0,0,50,2645,0,67
"Master","Single",31788,1,0,15,16,7,23,0,8,6,3,3,0,4,5,0,0,0,0,0,1,0,37,2478,0,60
"PhD","Together",61905,0,1,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0,45,2522,0,231
"Graduation","Married",29315,1,1,55,13,2,14,8,7,4,4,2,0,4,6,0,0,0,0,0,0,0,60,2461,0,48
"Graduation","Divorced",33378,1,1,38,33,6,40,3,7,10,3,2,0,4,7,0,0,0,0,0,0,0,57,2885,0,99
"PhD","Together",66313,0,1,86,625,7,99,10,22,7,2,6,3,12,4,0,0,0,0,0,0,0,57,2663,0,770
"Master","Together",77882,0,0,29,68,129,396,188,22,15,1,3,3,5,1,0,0,0,0,0,0,0,39,2437,0,818
"Master","Divorced",63841,0,1,64,635,15,100,20,7,131,1,9,3,9,6,0,0,0,0,0,0,0,52,2811,0,908
"Basic","Married",24480,1,0,46,4,19,9,28,25,17,3,3,0,4,7,0,0,0,0,0,0,0,39,2880,0,102
"PhD","Together",65640,0,1,74,204,7,149,20,15,66,1,5,1,8,2,0,0,0,0,0,0,0,46,2497,0,461
"Master","Married",44319,1,1,18,26,0,8,0,0,3,2,2,0,3,5,0,0,0,0,0,0,0,45,2450,0,37
"Graduation","Married",30631,1,0,75,15,6,20,4,5,20,1,3,1,2,7,0,0,0,0,0,0,0,46,2729,0,70
"Graduation","Together",75278,0,0,17,304,98,230,150,74,74,1,6,3,13,3,0,0,0,0,0,0,0,68,2893,0,930
"Master","Together",50898,1,1,88,285,28,242,55,114,135,13,6,2,12,5,0,0,0,0,0,0,0,64,2914,0,859
"Graduation","Widow",79946,0,0,19,395,183,565,166,141,28,1,5,11,5,3,0,0,0,0,0,0,0,54,2425,0,1478
"Master","Divorced",35416,0,0,62,248,3,81,4,3,51,3,7,1,5,8,0,0,0,0,0,0,0,71,2758,0,390
"2n Cycle","Together",32414,0,0,11,20,6,5,0,9,12,1,1,0,3,7,1,0,0,0,0,0,0,36,2737,1,52
"Graduation","Together",38361,1,0,74,39,0,56,20,8,14,3,3,1,3,7,0,0,0,0,0,0,0,51,2561,0,137
"Graduation","Married",82497,0,0,32,777,129,573,216,21,203,1,2,7,9,4,0,0,1,0,0,0,0,40,2983,1,1919
"Graduation","Together",16626,2,0,76,8,3,22,21,1,13,3,3,0,3,9,0,0,0,0,0,0,0,49,2542,0,68
"Graduation","Together",29672,1,1,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,55,2851,0,25
"Master","Together",55951,0,1,62,1241,0,80,0,13,40,3,3,6,11,8,0,1,0,0,1,0,0,68,3052,2,1374
"2n Cycle","Divorced",35388,1,0,20,6,4,7,4,3,8,1,1,0,3,7,0,0,0,0,0,0,0,32,2856,0,32
"Master","Together",42386,1,0,43,65,4,16,0,4,11,1,3,0,3,8,0,0,0,0,0,0,0,34,2909,0,100
"Graduation","Single",68627,0,0,45,395,15,263,60,54,38,1,2,3,6,1,0,0,0,0,0,0,0,38,2910,0,825
"PhD","Divorced",57912,0,1,34,801,0,80,0,0,35,5,8,3,12,5,0,1,0,0,0,0,0,55,2481,1,916
"Graduation","Divorced",35246,1,1,53,36,0,12,2,2,10,4,3,1,3,5,0,0,0,0,0,0,0,62,2451,0,62
"2n Cycle","Together",58821,0,1,44,513,14,154,19,0,28,1,9,2,9,6,0,0,0,0,0,0,0,64,2637,0,728
"PhD","Married",46377,1,0,89,37,0,46,4,3,0,1,2,1,3,4,0,0,0,0,0,0,0,42,2497,0,90
"Graduation","Single",39747,1,0,43,80,15,93,20,13,52,3,5,1,4,8,0,0,0,0,0,0,0,32,2454,0,273
"Graduation","Together",23976,1,0,68,14,1,21,2,3,25,3,3,1,3,7,0,0,0,0,0,0,0,36,2561,0,66
"Master","Married",80950,0,0,44,525,147,112,219,147,63,1,6,7,9,2,0,0,0,1,0,0,0,59,2835,1,1213
"Graduation","Single",77457,0,0,85,675,11,400,15,45,11,1,2,5,10,1,0,0,1,0,0,0,0,73,2493,1,1157
"Master","Married",64100,0,1,93,509,0,27,0,0,10,1,8,3,6,7,0,1,0,0,0,0,0,56,2669,1,546
"Master","Together",42670,0,0,12,154,2,46,20,4,15,1,4,2,4,4,0,0,0,0,0,0,0,28,2805,0,241
"Graduation","Divorced",12571,1,0,86,3,5,14,2,12,17,4,3,1,3,6,0,0,0,0,0,0,0,44,2539,0,53
"Graduation","Married",22574,2,1,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,53,2621,0,37
"Graduation","Married",74854,0,0,69,861,138,461,60,30,61,1,6,5,12,3,0,1,0,1,0,0,0,31,2768,2,1611
"Master","Single",70893,0,0,42,768,44,561,77,44,14,1,6,6,10,3,0,0,0,0,0,0,0,44,2885,0,1508
"Graduation","Married",54198,1,1,13,185,0,28,3,2,17,6,3,1,6,4,0,0,0,0,0,0,0,54,2571,0,235
"Master","Together",28839,1,1,86,24,0,7,0,0,1,2,2,0,3,5,0,0,0,0,0,0,0,64,2487,0,32
"Graduation","Married",40321,1,1,59,44,4,21,6,0,27,2,3,0,3,7,0,0,0,0,0,0,0,48,2712,0,102
"Graduation","Single",66503,1,0,30,91,64,128,65,3,50,2,4,3,6,3,0,0,0,0,0,0,0,35,3061,0,401
"Graduation","Married",30833,1,1,33,11,0,7,3,1,6,2,1,0,3,5,0,0,0,0,0,0,0,69,2725,0,28
"Graduation","Single",72117,1,2,67,738,20,172,52,50,20,6,2,3,10,7,0,1,0,1,0,0,0,50,2687,2,1052
"Graduation","Married",64795,0,1,23,412,5,119,38,29,77,3,3,3,12,2,0,0,0,0,0,0,0,49,2905,0,680
"Graduation","Married",34421,1,0,81,3,3,7,6,2,9,1,1,0,2,7,0,0,0,0,0,0,0,46,2740,0,30
"PhD","Divorced",47025,1,1,6,16,0,3,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,55,2517,0,20
"PhD","Divorced",64325,0,1,41,731,60,353,78,12,73,5,10,3,5,7,0,0,0,0,0,0,0,59,2884,0,1307
"Graduation","Single",40464,0,1,78,424,17,118,7,23,41,6,8,2,8,8,0,0,0,0,0,0,0,67,2911,0,630
"Graduation","Married",62187,0,0,49,792,0,275,45,45,126,1,4,8,5,3,0,0,0,0,0,0,0,63,2736,0,1283
"PhD","Divorced",14849,1,0,39,21,2,28,3,2,9,3,2,0,4,8,0,0,0,0,0,0,0,44,2739,0,65
"Graduation","Married",27255,1,0,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0,36,2611,0,37
"PhD","Married",54432,2,1,37,33,0,5,0,0,0,1,1,0,3,4,0,0,0,0,0,0,0,70,2793,0,38
"PhD","Single",29999,1,0,22,68,7,59,10,5,11,4,3,1,4,8,0,0,0,0,0,0,0,34,2878,0,160
"Graduation","Single",24072,1,0,79,9,1,6,3,0,4,1,1,0,2,8,0,0,0,0,0,0,0,37,2816,0,23
"PhD","Single",33996,0,0,46,40,2,15,8,0,6,1,1,1,3,4,0,0,0,0,0,0,0,31,2668,0,71
"Graduation","Together",22010,1,0,51,11,2,9,3,0,8,2,2,0,3,8,0,0,0,0,0,0,0,37,2741,0,33
"Graduation","Divorced",62204,0,2,38,317,46,247,151,46,139,1,4,5,12,3,0,0,0,0,0,0,0,60,3032,0,946
"Graduation","Married",30675,1,0,14,10,2,16,11,2,21,1,1,0,3,8,0,0,0,0,0,0,0,48,2971,0,62
"PhD","Together",83532,0,0,36,755,144,562,104,64,224,1,4,6,4,1,0,0,1,0,0,0,0,80,2653,1,1853
"Graduation","Single",68655,0,0,95,456,19,832,75,118,38,1,4,5,11,3,0,0,0,0,0,0,0,32,3065,0,1538
"Graduation","Divorced",41411,0,0,11,37,32,38,11,3,18,1,2,1,4,6,0,0,0,0,0,0,0,34,2581,0,139
"PhD","Married",55212,0,1,65,1103,0,45,0,0,34,3,4,2,11,8,0,1,0,0,1,0,0,51,2960,2,1182
"PhD","Together",59292,0,1,71,378,14,68,19,14,14,2,3,5,8,3,0,0,0,0,0,0,0,70,2758,0,507
"Graduation","Divorced",82623,0,0,58,204,34,204,172,153,173,1,2,9,4,1,0,0,0,0,0,0,0,68,2608,0,940
"Graduation","Married",44300,1,1,65,30,0,9,0,0,3,2,1,0,3,6,0,0,0,0,0,0,0,55,2748,0,42
"Graduation","Widow",30372,1,1,33,15,0,12,7,3,7,3,2,0,3,7,0,0,0,0,0,0,0,49,2928,0,44
"Master","Married",33181,1,0,90,9,0,3,0,0,4,1,1,0,2,6,1,0,0,0,0,0,0,44,2554,1,16
"Graduation","Married",71113,0,1,95,495,33,255,11,33,8,4,6,7,9,4,0,0,0,0,0,0,0,63,2571,0,835
"Graduation","Married",71952,1,0,93,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,0,34,2912,2,1443
"Graduation","Married",72099,0,0,18,546,91,410,119,0,22,1,3,4,10,1,0,0,0,0,0,0,0,46,2987,0,1188
"PhD","Single",60000,0,1,57,1048,0,217,0,0,12,5,11,3,5,6,0,0,0,0,0,0,0,44,2931,0,1277
"Graduation","Single",38643,1,1,45,22,2,14,0,1,10,2,2,0,3,7,0,0,0,0,0,1,0,42,2589,0,49
"Graduation","Married",50737,0,1,61,78,0,11,0,0,10,1,2,0,4,6,0,1,0,0,0,0,0,65,2791,1,99
"PhD","Married",68462,0,0,6,561,64,785,84,128,48,1,3,3,8,1,0,0,0,0,0,0,0,51,2941,0,1670
"Master","Married",65073,0,0,65,629,17,177,69,0,8,1,5,3,5,2,0,0,0,0,0,1,0,77,2690,0,900
"PhD","Together",46681,0,2,52,269,15,69,15,19,38,2,4,6,4,5,0,0,0,0,0,0,0,72,2641,0,425
"Graduation","Married",78618,0,0,87,736,163,818,212,163,61,1,4,7,10,2,0,1,0,0,0,0,0,63,3016,1,2153
"PhD","Widow",62187,0,1,38,512,0,83,0,0,41,3,6,2,10,4,0,0,0,0,0,0,0,51,2476,0,636
"Graduation","Married",28442,2,0,53,19,3,10,11,8,6,3,2,1,4,4,0,0,0,0,0,0,0,42,2502,0,57
"Graduation","Married",51479,1,1,67,247,8,160,6,8,65,7,6,3,6,7,0,0,0,0,0,0,0,53,2925,0,494
"Graduation","Single",54803,0,1,65,404,0,92,28,27,142,2,6,2,9,4,0,0,0,0,0,0,0,51,3054,0,693
"Graduation","Married",79530,0,0,64,333,0,815,129,42,29,1,4,10,11,2,0,0,0,0,0,0,0,60,2785,0,1348
"Graduation","Divorced",31615,1,0,82,2,3,20,6,11,9,2,2,0,3,7,0,0,0,0,0,0,0,44,2847,0,51
"Graduation","Together",72025,0,0,27,833,33,549,151,133,233,1,4,3,8,3,0,0,0,0,0,0,0,58,2966,0,1932
"PhD","Single",52614,0,1,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,0,45,2952,0,990
"2n Cycle","Married",35684,1,0,66,10,4,7,0,6,3,1,1,0,3,6,0,0,0,0,0,0,0,36,2445,0,30
"Graduation","Married",48178,1,1,69,159,4,45,6,2,38,6,5,1,4,8,0,0,0,0,0,0,0,45,2986,0,254
"Master","Single",29548,1,0,52,7,1,6,3,1,11,1,1,1,2,4,1,0,0,0,0,0,0,50,2681,1,29
"Graduation","Single",63810,0,1,45,977,12,253,16,12,101,4,4,3,12,8,0,1,0,0,0,0,0,54,2972,1,1371
"Graduation","Single",30279,1,0,13,10,4,14,4,4,1,1,1,0,3,8,0,0,0,0,0,0,0,31,2923,0,37
"PhD","Together",66426,0,1,14,1043,24,97,32,24,157,2,3,5,10,6,0,0,0,0,0,0,0,59,2647,0,1377
"Graduation","Single",30822,1,0,92,3,9,13,2,12,12,1,1,0,3,7,0,0,0,0,0,0,0,51,2757,0,51
"PhD","Married",33581,2,0,38,11,0,5,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,51,2914,0,17
"Graduation","Married",19986,1,0,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,0,35,2604,0,22
"Graduation","Widow",27421,0,0,14,43,12,96,78,40,55,3,4,1,6,7,0,0,0,0,0,0,0,66,2941,0,324
"Master","Single",36143,1,0,33,12,0,1,0,0,6,1,0,1,2,3,0,0,0,0,0,0,0,39,2468,0,19
"Graduation","Single",45068,1,0,32,4,7,7,6,4,13,3,1,2,2,5,0,0,0,0,0,0,0,49,2787,0,41
"Graduation","Together",63381,0,1,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,0,60,3009,0,1005
"Graduation","Together",38823,0,1,56,70,0,11,2,8,23,1,2,1,3,6,0,0,0,0,0,0,0,71,3045,0,114
"PhD","Divorced",83664,1,1,57,866,21,151,28,21,86,3,2,2,12,5,0,0,0,0,0,0,0,52,2794,0,1173
"Graduation","Together",90300,0,0,7,594,134,786,33,134,57,0,5,6,8,1,0,0,1,0,0,0,0,41,2554,1,1738
"Master","Together",62499,1,0,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,0,41,2579,0,222
"Graduation","Single",74293,0,0,66,375,152,335,93,91,81,1,5,4,6,2,0,0,0,0,0,0,0,27,2433,0,1127
"PhD","Married",51012,0,0,86,102,9,63,2,9,24,1,4,1,4,6,0,0,0,0,0,0,0,74,2814,0,209
"Master","Married",70777,0,1,80,554,35,113,0,7,78,3,5,3,12,3,0,0,0,0,0,0,0,52,2501,0,787
"PhD","Together",68682,0,0,56,919,0,505,99,30,45,1,4,9,10,2,0,0,0,0,0,0,0,29,2643,0,1598
"Graduation","Married",43824,1,1,18,96,1,42,12,3,32,4,3,1,4,8,0,0,0,0,0,0,0,49,3029,0,186
"Graduation","Single",23442,1,0,71,2,0,6,8,6,5,1,1,0,3,7,0,0,0,0,0,0,0,33,2929,0,27
"2n Cycle","Divorced",31395,1,1,80,23,1,25,0,8,7,4,2,1,3,6,0,0,0,0,0,0,0,64,2840,0,64
"Graduation","Together",75276,0,0,2,610,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,0,55,3017,0,1040
"Graduation","Single",42373,1,1,83,67,5,61,3,8,19,5,2,1,5,5,0,0,0,0,0,0,0,46,2695,0,163
"Graduation","Together",30507,0,0,29,65,36,74,38,20,110,1,5,1,4,7,0,0,0,0,0,0,0,60,2852,0,343
"Graduation","Married",48006,1,1,55,23,0,11,3,2,2,1,1,0,3,6,0,0,0,0,0,0,0,55,2397,0,41
"PhD","Divorced",65808,1,1,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,0,49,2407,0,272
"Graduation","Married",50437,0,2,28,370,9,92,6,9,4,3,7,1,8,7,0,0,0,0,0,0,0,57,2997,0,490
"Graduation","Married",53858,0,1,50,407,53,221,58,150,26,4,4,3,6,4,0,0,0,0,0,0,0,44,2974,0,915
"PhD","Married",66465,0,1,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,0,1,0,0,0,65,2833,1,1485
"Graduation","Single",46923,1,0,90,85,44,54,102,78,6,3,5,1,7,7,0,0,0,0,0,0,0,33,3053,0,369
"Graduation","Together",75072,0,1,83,583,34,309,0,22,125,2,5,4,8,3,0,0,0,0,0,0,0,58,2899,0,1073
"PhD","Married",75865,0,0,73,483,0,591,156,0,12,1,3,5,10,1,0,0,0,0,0,0,0,77,2467,0,1242
"2n Cycle","Together",19789,1,0,24,2,5,9,28,6,28,3,2,1,3,5,1,0,0,0,0,0,0,45,2598,1,78
"Graduation","Together",80134,0,0,11,966,26,282,52,26,26,1,2,7,11,5,0,1,1,1,1,0,0,26,2512,4,1378
"Master","Married",49505,1,1,4,604,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,0,0,49,2858,0,751
"PhD","Married",37401,1,0,14,19,3,19,3,1,3,2,2,0,3,7,0,0,0,0,0,0,0,47,2431,0,48
"Master","Together",18492,1,0,75,2,2,2,2,1,1,1,1,0,2,8,0,0,0,0,0,0,0,38,2401,0,10
"PhD","Married",93027,0,0,77,1285,42,716,55,0,21,0,7,10,5,2,0,0,1,0,0,0,0,79,2819,1,2119
"Graduation","Married",48686,1,2,8,10,0,7,2,0,1,1,1,0,2,8,0,0,0,0,0,0,0,67,2584,0,20
"Graduation","Married",92910,0,0,42,551,137,792,179,103,33,1,6,7,13,1,0,1,1,1,0,0,0,34,2443,3,1795
"Graduation","Married",75433,1,0,28,800,0,297,0,34,57,2,2,5,10,6,0,1,0,1,0,0,0,31,2462,2,1188
"2n Cycle","Together",26868,1,0,52,2,2,11,10,6,12,2,1,0,4,5,0,0,0,0,0,0,0,31,2433,0,43
"Graduation","Married",61314,0,1,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0,52,2807,0,1008
"Graduation","Married",42387,1,0,42,235,0,235,19,4,191,5,8,1,7,8,0,0,0,0,0,0,0,31,2985,0,684
"2n Cycle","Together",67309,1,1,76,515,47,181,149,95,95,15,9,6,9,7,0,0,0,0,0,0,0,53,2899,0,1082
"Graduation","Married",75236,0,1,27,438,66,400,12,38,114,1,8,3,13,4,0,0,0,0,0,0,0,56,2593,0,1068
"Graduation","Single",30015,1,0,28,25,0,22,2,3,5,2,1,0,4,5,0,0,0,0,0,0,0,50,2524,0,57
"Master","Together",50943,0,1,49,31,0,7,2,0,6,1,1,0,3,5,0,0,0,0,0,0,0,64,2750,0,46
"Graduation","Divorced",67272,0,1,12,357,35,271,28,28,14,3,6,2,12,5,0,0,0,0,0,0,0,54,2567,0,733
"Master","Widow",51529,0,1,14,400,4,35,6,0,22,2,9,1,5,8,0,0,0,0,0,0,0,71,2672,0,467
"PhD","Married",32011,1,0,89,99,0,15,2,1,5,3,2,1,4,7,0,0,0,0,0,0,0,49,2688,0,122
"2n Cycle","Married",31056,1,0,96,1,11,5,4,6,9,2,2,0,3,8,0,0,0,0,0,0,0,34,2884,0,36
"Graduation","Married",28691,1,0,56,5,4,13,8,0,4,1,1,0,3,8,0,0,0,0,0,0,0,31,2737,0,34
"PhD","Married",56223,0,1,72,77,28,31,16,0,4,2,2,1,5,4,0,0,0,0,0,0,0,72,2568,0,156
"Graduation","Married",18100,0,0,14,3,1,2,4,3,1,1,0,0,3,5,0,0,0,0,0,0,0,74,2704,0,14
"2n Cycle","Married",20130,0,0,99,0,6,3,7,6,12,1,1,0,3,8,0,0,0,0,0,0,0,46,2481,0,34
"Graduation","Divorced",23295,0,0,72,0,0,1,2,12,5,1,1,0,2,8,0,0,0,0,0,0,0,61,2728,0,20
"Master","Divorced",42618,1,0,92,76,14,74,13,5,10,2,5,0,4,8,0,0,0,0,0,0,0,48,2640,0,192
"Graduation","Single",81246,0,0,87,398,190,537,61,156,37,1,4,5,7,1,1,0,0,1,0,0,0,56,2559,2,1379
"Graduation","Married",24027,1,0,7,14,7,11,11,0,5,2,2,0,3,8,0,0,0,0,0,0,0,44,2762,0,48
"PhD","Married",55707,0,1,91,208,7,82,30,66,35,2,3,2,9,3,0,0,0,0,0,0,0,67,2566,0,428
"Graduation","Single",57959,0,1,71,430,16,322,43,24,33,5,4,7,11,3,0,0,0,0,0,0,0,65,2800,0,868
"Graduation","Married",56796,0,1,24,656,38,161,62,47,37,3,8,9,7,7,0,0,0,0,0,0,0,51,2875,0,1001
"Master","Single",36230,1,0,17,14,2,30,8,2,3,1,2,0,4,5,0,0,0,0,0,0,0,49,2632,0,59
"2n Cycle","Married",70829,1,1,87,141,70,106,72,19,23,2,4,2,8,3,0,0,0,0,0,0,0,40,2587,0,431
"Graduation","Married",65991,0,1,21,507,19,364,25,47,9,3,9,5,10,7,0,0,0,0,0,0,0,44,3037,0,971
"Graduation","Married",38988,1,2,90,164,24,103,12,3,42,7,5,1,6,8,0,0,0,0,0,0,0,48,3055,0,348
"Graduation","Married",50300,0,1,52,143,15,60,24,23,5,2,2,1,8,2,0,0,0,0,0,0,0,68,2412,0,270
"2n Cycle","Together",66664,0,0,78,398,96,447,220,96,32,1,5,7,6,3,0,0,0,0,0,0,0,38,3019,0,1289
"Graduation","Widow",70165,0,0,60,161,0,253,199,191,122,1,3,7,11,1,0,0,0,0,0,0,0,71,2657,0,926
"PhD","Widow",50520,0,1,25,112,0,6,2,1,14,2,3,1,3,6,0,0,0,0,0,0,0,62,2529,0,135
"Graduation","Married",33183,1,0,46,7,5,39,17,15,37,2,4,0,3,7,0,0,0,0,0,0,0,45,2502,0,120
"PhD","Single",66582,0,0,83,789,25,420,16,38,0,1,2,8,9,1,0,0,0,0,0,0,0,51,2495,0,1288
"Graduation","Widow",31880,1,0,13,4,1,5,2,0,3,1,1,0,2,8,0,0,0,0,0,0,0,50,2983,0,15
"Graduation","Married",53790,0,2,86,335,42,127,28,5,5,3,7,2,8,6,0,0,0,0,0,0,0,69,2492,0,542
"PhD","Together",49269,1,0,92,639,8,166,11,8,58,3,7,3,12,7,0,0,0,0,0,0,0,49,3060,0,890
"Graduation","Married",61456,0,1,47,563,76,384,84,192,89,4,6,10,13,4,0,0,0,0,0,0,0,45,2836,0,1388
"Graduation","Married",38415,1,1,91,22,1,13,4,0,4,2,1,0,3,7,0,0,0,0,0,0,0,42,2920,0,44
"Graduation","Single",20518,1,0,58,4,1,6,4,1,9,1,1,1,2,5,0,0,0,0,0,0,0,32,2419,0,25
"Graduation","Married",62503,0,1,40,478,0,193,110,75,117,4,8,3,11,5,0,0,0,0,0,0,0,64,2873,0,973
"PhD","Single",41644,1,1,67,20,3,4,2,0,2,2,1,0,3,3,0,0,0,0,0,0,0,48,2428,0,31
"Master","Married",55842,0,1,19,451,0,39,0,4,24,1,7,1,8,5,0,0,0,0,0,0,0,43,2414,0,518
"PhD","Married",62010,0,1,93,371,22,39,6,0,92,4,6,2,7,5,0,0,0,0,0,0,0,48,2991,0,530
"Graduation","Married",41124,1,0,41,281,7,84,15,0,119,7,7,3,4,8,0,0,0,0,0,0,0,43,2983,0,506
"Master","Married",38961,1,0,60,19,7,19,0,1,24,1,2,1,2,7,0,0,0,0,0,0,0,47,2558,0,70
"Master","Divorced",37760,1,0,54,26,3,13,2,10,0,1,2,0,3,6,0,0,0,0,0,0,0,48,2699,0,54
"Graduation","Married",43057,0,1,30,213,2,44,0,2,5,4,4,2,5,5,0,0,0,0,0,0,0,45,2619,0,266
"Master","Together",83151,0,0,93,407,28,100,120,74,18,1,5,9,4,3,0,0,0,0,0,0,0,60,3004,0,747
"Graduation","Married",60093,0,1,92,502,12,109,16,6,90,2,7,2,10,6,0,0,0,0,0,0,0,46,2745,0,735
"Graduation","Married",14045,1,0,24,11,0,5,2,1,1,1,1,0,3,7,0,0,0,0,0,0,0,51,2531,0,20
"2n Cycle","Widow",28457,0,0,96,24,1,108,29,29,14,1,4,1,4,8,0,0,0,0,0,0,0,68,2986,0,205
"PhD","Together",78952,0,1,11,1170,19,594,99,76,134,2,2,5,12,6,0,0,0,0,0,0,0,62,3020,0,2092
"Graduation","Divorced",46310,1,0,99,185,2,88,15,5,14,2,6,1,5,8,0,0,0,0,0,0,0,44,2950,0,309
